name,price,rating,in_stock,image_url,detail_url
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True,https://books.toscrape.com/catalogue/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,51.33,2,True,https://books.toscrape.com/catalogue/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,45.17,2,True,https://books.toscrape.com/catalogue/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,12.84,1,True,https://books.toscrape.com/catalogue/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,37.32,2,True,https://books.toscrape.com/catalogue/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True,https://books.toscrape.com/catalogue/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),25.27,5,True,https://books.toscrape.com/catalogue/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,34.53,5,True,https://books.toscrape.com/catalogue/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,54.64,3,True,https://books.toscrape.com/catalogue/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True,https://books.toscrape.com/catalogue/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,53.13,3,True,https://books.toscrape.com/catalogue/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,True,https://books.toscrape.com/catalogue/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,44.18,4,True,https://books.toscrape.com/catalogue/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,https://books.toscrape.com/catalogue/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,https://books.toscrape.com/catalogue/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,23.82,5,True,https://books.toscrape.com/catalogue/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,36.89,1,True,https://books.toscrape.com/catalogue/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,15.94,5,True,https://books.toscrape.com/catalogue/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,33.29,3,True,https://books.toscrape.com/catalogue/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,18.02,2,True,https://books.toscrape.com/catalogue/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",19.63,1,True,https://books.toscrape.com/catalogue/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,52.22,4,True,https://books.toscrape.com/catalogue/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,33.63,2,True,https://books.toscrape.com/catalogue/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,57.31,3,True,https://books.toscrape.com/catalogue/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,26.41,2,True,https://books.toscrape.com/catalogue/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),47.61,5,True,https://books.toscrape.com/catalogue/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,https://books.toscrape.com/catalogue/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),45.07,2,True,https://books.toscrape.com/catalogue/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,31.77,1,True,https://books.toscrape.com/catalogue/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",50.27,5,True,https://books.toscrape.com/catalogue/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,True,https://books.toscrape.com/catalogue/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True,https://books.toscrape.com/catalogue/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,18.78,3,True,https://books.toscrape.com/catalogue/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,True,https://books.toscrape.com/catalogue/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,https://books.toscrape.com/catalogue/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True,https://books.toscrape.com/catalogue/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,19.49,4,True,https://books.toscrape.com/catalogue/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,17.27,5,True,https://books.toscrape.com/catalogue/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,19.09,1,True,https://books.toscrape.com/catalogue/media/cache/33/e5/33e507172541628acfd421503196b578.jpg,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,56.13,1,True,https://books.toscrape.com/catalogue/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,True,https://books.toscrape.com/catalogue/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,56.5,4,True,https://books.toscrape.com/catalogue/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,True,https://books.toscrape.com/catalogue/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),38.16,4,True,https://books.toscrape.com/catalogue/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),54.11,3,True,https://books.toscrape.com/catalogue/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,True,https://books.toscrape.com/catalogue/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,True,https://books.toscrape.com/catalogue/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True,https://books.toscrape.com/catalogue/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,True,https://books.toscrape.com/catalogue/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True,https://books.toscrape.com/catalogue/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,True,https://books.toscrape.com/catalogue/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Death of Humanity: and the Case for Life,58.11,4,True,https://books.toscrape.com/catalogue/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,True,https://books.toscrape.com/catalogue/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Art Forger,40.76,3,True,https://books.toscrape.com/catalogue/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,True,https://books.toscrape.com/catalogue/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,True,https://books.toscrape.com/catalogue/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True,https://books.toscrape.com/catalogue/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Soul Reader,39.58,2,True,https://books.toscrape.com/catalogue/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,39.25,2,True,https://books.toscrape.com/catalogue/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,True,https://books.toscrape.com/catalogue/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True,https://books.toscrape.com/catalogue/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True,https://books.toscrape.com/catalogue/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True,https://books.toscrape.com/catalogue/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,https://books.toscrape.com/catalogue/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True,https://books.toscrape.com/catalogue/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume 1: Gift",18.97,1,True,https://books.toscrape.com/catalogue/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,True,https://books.toscrape.com/catalogue/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,10.16,3,True,https://books.toscrape.com/catalogue/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,https://books.toscrape.com/catalogue/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True,https://books.toscrape.com/catalogue/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,True,https://books.toscrape.com/catalogue/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
On a Midnight Clear,14.07,3,True,https://books.toscrape.com/catalogue/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Obsidian (Lux #1),14.86,2,True,https://books.toscrape.com/catalogue/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
My Paris Kitchen: Recipes and Stories,33.37,2,True,https://books.toscrape.com/catalogue/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Masks and Shadows,56.4,2,True,https://books.toscrape.com/catalogue/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True,https://books.toscrape.com/catalogue/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True,https://books.toscrape.com/catalogue/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True,https://books.toscrape.com/catalogue/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True,https://books.toscrape.com/catalogue/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,True,https://books.toscrape.com/catalogue/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,True,https://books.toscrape.com/catalogue/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Join,35.67,5,True,https://books.toscrape.com/catalogue/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,https://books.toscrape.com/catalogue/join_902/index.html
In the Country We Love: My Family Divided,22.0,4,True,https://books.toscrape.com/catalogue/media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,True,https://books.toscrape.com/catalogue/media/cache/26/1c/261c4eaf957ae4aacf2229b482e76dbe.jpg,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,True,https://books.toscrape.com/catalogue/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,54.63,3,True,https://books.toscrape.com/catalogue/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
How to Be Miserable: 40 Strategies You Already Use,46.03,1,True,https://books.toscrape.com/catalogue/media/cache/da/8b/da8bc9b824dd3f446ef63e438ddbfc85.jpg,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,True,https://books.toscrape.com/catalogue/media/cache/1e/bb/1ebbbc3e2d3249b111033cfc40763b0b.jpg,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,True,https://books.toscrape.com/catalogue/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,True,https://books.toscrape.com/catalogue/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
First and First (Five Boroughs #3),15.97,4,True,https://books.toscrape.com/catalogue/media/cache/c4/d1/c4d1517cc9370e292366b6132ca9ca36.jpg,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),21.96,1,True,https://books.toscrape.com/catalogue/media/cache/cc/bd/ccbdae9e29b3594301528fa2c876ec29.jpg,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
